Company,Field,Value,Source URL
"Otsuka Holdings Co., Ltd. (parent of Otsuka Pharmaceutical)",Revenue,12638000000,https://otsuka.com/en/ir/library/pdf/annual/2024_all_a4.pdf
"Otsuka Holdings Co., Ltd. (parent of Otsuka Pharmaceutical)",Employees,37758,https://www.otsuka.com/en/ir/library/pdf/annual/2025_all_a4.pdf
"Otsuka Holdings Co., Ltd. (parent of Otsuka Pharmaceutical)",Therapeutic Area,"Psychiatry & Neurology, Oncology, Cardiovascular & Renal",https://www.otsuka.com/en/sustainability/society/health/pharmaceutical.html
"Otsuka Holdings Co., Ltd. (parent of Otsuka Pharmaceutical)",Key Products,"ABILIFY MAINTENA, REXULTI, JYNARQUE, SAMSCA, LONSURF, DELTYBA",https://www.otsuka.co.jp/en/pharmaceutical-business/products/
"Otsuka Holdings Co., Ltd. (parent of Otsuka Pharmaceutical)",Website,https://www.otsuka.com/en/,https://www.otsuka.com/en/
"Eisai Co., Ltd.",Revenue,4943000000,https://www.eisai.com/company/glance/index.html
"Eisai Co., Ltd.",Employees,10917,https://pitchbook.com/profiles/company/42713-74
"Eisai Co., Ltd.",Therapeutic Area,"Neurology, Oncology, Tropical Diseases",https://www.eisai.com/innovation/research/key_therapeutic_areas/index.html
"Eisai Co., Ltd.",Key Products,"LEQEMBI, LENVIMA, HALAVEN, DAYVIGO, FYCOMPA",https://www.eisai.com/news/index.html
"Eisai Co., Ltd.",Website,https://www.eisai.com,https://www.eisai.com
"Chugai Pharmaceutical Co., Ltd.",Revenue,7752000000,https://www.chugai-pharm.co.jp/english/news/detail/20250130170004_1134.html
"Chugai Pharmaceutical Co., Ltd.",Employees,7778,https://www.sustainalytics.com/esg-rating/chugai-pharmaceutical-co-ltd/1008563593
"Chugai Pharmaceutical Co., Ltd.",Therapeutic Area,"Oncology, Immunology, Neuroscience, Hematology, Ophthalmology",https://www.chugai-pharm.co.jp/english/ir/product/pipeline.html
"Chugai Pharmaceutical Co., Ltd.",Key Products,"Hemlibra, Actemra, Vabysmo, Phesgo, Alecensa, Enspryng, PiaSky",https://www.chugai-pharm.co.jp/english/ir/product/product.html
"Chugai Pharmaceutical Co., Ltd.",Website,https://www.chugai-pharm.co.jp/english/,https://www.chugai-pharm.co.jp/english/
UCB SA,Revenue,899000000,https://www.ucb.com/sites/default/files/2026-02/UCB-PR-2025-FY-Results-ENG.pdf
UCB SA,Employees,9378,https://www.ucb.com/sites/default/files/2025-06/ucb_iar_2024_eng_final_0.pdf
UCB SA,Therapeutic Area,"Immunology, Neurology, Rare Diseases",https://www.ucb.com/newsroom/press-releases/article/strong-execution-fueling-sustained-company-growth
UCB SA,Key Products,"BIMZELX, CIMZIA, EVENITY, FINTEPLA, RYSTIGGO, ZILBRYSQ, BRIVIACT, VIMPAT, KEPPRA",https://www.ucb.com/newsroom/press-releases/article/on-growth-path-for-a-decade-plus-strong-launch-execution-driving-company-growth
UCB SA,Website,https://www.ucb.com,https://www.ucb.com
Servier (Laboratoires Servier),Revenue,8200000000,https://servier.com/en/newsroom/solid-performance-forecasts/
Servier (Laboratoires Servier),Employees,22000,https://servier.com/wp-content/uploads/2026/02/servier-annual-report-2024-2025.pdf
Servier (Laboratoires Servier),Therapeutic Area,"Oncology, Neurology, Cardiometabolism, Venous Diseases",https://servier.com/wp-content/uploads/2026/02/servier-annual-report-2024-2025.pdf
Servier (Laboratoires Servier),Key Products,"Daflon, Tibsovo, Onivyde, Oncaspar, Voranigo, Lonsurf, Coversyl",https://servier.com/en/newsroom/strong-results-outpaces-its-trajectory/
Servier (Laboratoires Servier),Website,https://servier.com,https://servier.com
Recordati Industria Chimica e Farmaceutica S.p.A.,Revenue,2485188000,https://www.recordati.com/en/investors/investor-relations/press-releases/2025/20022025.html
Recordati Industria Chimica e Farmaceutica S.p.A.,Employees,4452,https://www.recordati.com/en/investors/financial-reports/
Recordati Industria Chimica e Farmaceutica S.p.A.,Therapeutic Area,"Cardiology, Urology, Gastroenterology, Rare Diseases, Endocrinology",https://www.recordati.com/en/product-portfolio/
Recordati Industria Chimica e Farmaceutica S.p.A.,Key Products,"Zanidip, Eligard, Isturisa, Signifor, Cystadrops, Ledercort",https://www.recordati.com/en/product-portfolio/specialty-primary-care/
Recordati Industria Chimica e Farmaceutica S.p.A.,Website,https://www.recordati.com,https://www.recordati.com
Grifols S.A.,Revenue,8126000000,https://www.sec.gov/Archives/edgar/data/1438569/000110465926044901/grfs-20251231x20f.htm
Grifols S.A.,Employees,23822,https://www.sec.gov/Archives/edgar/data/0001438569/000110465925034245/grfs-20241231x20f.htm
Grifols S.A.,Therapeutic Area,"Immunology, Hepatology & Intensive Care, Pulmonology, Hematology, Neurology, Infectious Diseases",https://www.sec.gov/Archives/edgar/data/0001438569/000110465924083891/tm2419599d1_6k.htm
Grifols S.A.,Key Products,"Gamunex-C, Xembify, Flebogamma, AlbuRx, Prolastin, HyperRAB",https://www.sec.gov/Archives/edgar/data/0001438569/000110465924115182/tm2427663d1_6k.htm
Grifols S.A.,Website,https://www.grifols.com,https://www.grifols.com
Alnylam Pharmaceuticals Inc.,Revenue,3713900000,https://www.sec.gov/Archives/edgar/data/0001178670/000162828026007497/alny2025q4exhibit311.htm
Alnylam Pharmaceuticals Inc.,Employees,2770,https://www.macrotrends.net/stocks/charts/ALNY/alnylam-pharmaceuticals/number-of-employees
Alnylam Pharmaceuticals Inc.,Therapeutic Area,"Genetic Medicines, Cardio-Metabolic Diseases, Infectious Disease, CNS/Ocular Diseases",https://investors.alnylam.com/sites/default/files/pdfs/ALNY_Corp_Backgrounder_ALNYCB04-25.pdf
Alnylam Pharmaceuticals Inc.,Key Products,"AMVUTTRA, ONPATTRO, GIVLAARI, OXLUMO",https://investors.alnylam.com/press-release?id=28716
Alnylam Pharmaceuticals Inc.,Website,https://www.alnylam.com,https://www.alnylam.com
Gilead Sciences Inc.,Revenue,29443000000,https://www.sec.gov/Archives/edgar/data/0000882095/000088209526000006/gild-20251231.htm
Gilead Sciences Inc.,Employees,17000,https://s29.q4cdn.com/585078350/files/doc_events/2026/Mar/19/GILD-2025-Annual-Report-Form-10-K-30-April-2026.pdf
Gilead Sciences Inc.,Therapeutic Area,"Virology, Oncology, Inflammation",https://www.gilead.com/science/therapeutic-areas
Gilead Sciences Inc.,Key Products,"Biktarvy, Descovy, Veklury, Trodelvy, Yescarta, Tecartus, Livdelzi, Lenacapavir",https://www.gilead.com/news/news-details/2026/gilead-sciences-announces-fourth-quarter-and-full-year-2025-financial-results
Gilead Sciences Inc.,Website,https://www.gilead.com,https://www.gilead.com
Incyte Corporation,Revenue,5140000000,https://investor.incyte.com/news-releases/news-release-details/incyte-reports-fourth-quarter-and-full-year-2025-financial
Incyte Corporation,Employees,2800,https://incyte.com/who-we-are/biopharmaceutical-research
Incyte Corporation,Therapeutic Area,"Hematology, Oncology, Inflammation & Autoimmunity",https://investor.incyte.com/news-releases/news-release-details/incyte-reports-fourth-quarter-and-full-year-2025-financial
Incyte Corporation,Key Products,"Jakafi, Opzelura, Niktimvo, Zynyz, Pemazyre",https://www.sec.gov/Archives/edgar/data/879169/000087916925000122/incy-q32025xexx991.htm
Incyte Corporation,Website,https://www.incyte.com,https://www.incyte.com
